                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.1808,                0.84665,                 1.2289,                0.81853,                0.62261,                0.71074,                0.33891,                 1.8247,                 1.1006,                 1.7301,             0.00084614,             0.00084614,             0.00084614
                    105,                 1.1604,                0.83303,                 1.2153,                0.83054,                0.59616,                 0.6938,                0.32369,                 1.8332,                 1.1305,                 1.7411,             0.00084048,             0.00084048,             0.00084048
                    106,                 1.1778,                0.84227,                 1.2148,                0.83542,                0.60705,                0.70117,                0.33238,                 1.7952,                 1.1264,                 1.7139,             0.00083482,             0.00083482,             0.00083482
                    107,                 1.1702,                0.83111,                 1.2223,                0.73561,                0.63965,                0.68667,                0.32677,                 1.8236,                  1.165,                 1.6973,             0.00082916,             0.00082916,             0.00082916
                    108,                 1.1771,                0.85049,                 1.2217,                0.77965,                0.66215,                0.71208,                0.33812,                 1.8239,                 1.1389,                 1.7116,              0.0008235,              0.0008235,              0.0008235
                    109,                 1.1844,                0.83756,                  1.219,                0.85222,                 0.6391,                0.73101,                0.33525,                 1.8386,                    1.1,                 1.7492,             0.00081785,             0.00081785,             0.00081785
                    110,                 1.1841,                0.83269,                 1.2152,                0.82785,                0.63458,                 0.7123,                0.34418,                 1.8087,                 1.1063,                 1.7128,             0.00081219,             0.00081219,             0.00081219
                    111,                 1.1681,                0.83099,                  1.208,                0.87259,                0.62754,                0.72618,                0.34859,                 1.7945,                 1.0479,                  1.702,             0.00080653,             0.00080653,             0.00080653
                    112,                 1.1676,                0.83018,                 1.2152,                0.80649,                0.61993,                0.72088,                0.34081,                 1.7975,                 1.1014,                 1.7214,             0.00080087,             0.00080087,             0.00080087
                    113,                 1.1347,                0.81644,                 1.1959,                 0.8547,                0.63045,                0.73823,                0.34152,                 1.8047,                  1.098,                 1.7223,             0.00079521,             0.00079521,             0.00079521
                    114,                 1.1581,                0.82891,                 1.2229,                0.75835,                0.67248,                0.71752,                0.33703,                   1.81,                  1.075,                  1.727,             0.00078955,             0.00078955,             0.00078955
                    115,                  1.155,                0.80812,                 1.2021,                0.85421,                0.65253,                0.72988,                0.35193,                 1.7735,                 1.0417,                 1.7015,             0.00078389,             0.00078389,             0.00078389
                    116,                 1.1546,                0.81183,                 1.2048,                0.82796,                0.64297,                0.71362,                0.34433,                 1.8016,                 1.1153,                 1.7078,             0.00077823,             0.00077823,             0.00077823
                    117,                 1.1318,                 0.7991,                 1.2008,                0.78576,                0.66571,                0.72851,                 0.3427,                 1.8027,                 1.1163,                 1.7218,             0.00077257,             0.00077257,             0.00077257
                    118,                 1.1261,                0.80604,                 1.2015,                0.78964,                0.62065,                0.70397,                0.34666,                 1.7698,                 1.1376,                 1.7027,             0.00076692,             0.00076692,             0.00076692
                    119,                 1.1368,                0.79878,                  1.201,                0.87416,                0.61994,                0.71342,                0.33993,                 1.7837,                 1.1121,                  1.707,             0.00076126,             0.00076126,             0.00076126
                    120,                 1.1393,                0.80986,                 1.1966,                0.79556,                0.62945,                0.69997,                0.33579,                 1.7938,                 1.0817,                 1.7027,              0.0007556,              0.0007556,              0.0007556
                    121,                 1.1202,                0.78607,                 1.1832,                0.86555,                 0.6344,                0.73545,                0.35115,                 1.7802,                  1.042,                 1.7078,             0.00074994,             0.00074994,             0.00074994
                    122,                  1.111,                0.78259,                 1.1915,                0.78657,                0.66368,                0.70944,                0.34499,                 1.7908,                 1.0795,                 1.7076,             0.00074428,             0.00074428,             0.00074428
                    123,                 1.1222,                0.77951,                 1.1904,                0.83428,                0.61475,                0.71409,                0.34371,                  1.792,                   1.07,                 1.7163,             0.00073862,             0.00073862,             0.00073862
                    124,                 1.1185,                0.78564,                 1.1916,                0.82884,                0.63558,                0.72344,                0.34671,                 1.8181,                 1.0655,                 1.7277,             0.00073296,             0.00073296,             0.00073296
                    125,                 1.1318,                0.79275,                 1.1945,                  0.803,                0.64781,                0.71664,                0.34551,                 1.8151,                 1.0757,                 1.6976,              0.0007273,              0.0007273,              0.0007273
                    126,                 1.1173,                0.79532,                 1.1865,                0.78763,                0.67794,                0.71612,                0.34014,                 1.7984,                 1.0653,                 1.6975,             0.00072164,             0.00072164,             0.00072164
                    127,                 1.1258,                0.79243,                  1.194,                0.76369,                0.64371,                0.69105,                 0.3308,                 1.8078,                 1.1288,                 1.7304,             0.00071599,             0.00071599,             0.00071599
                    128,                 1.1096,                0.77256,                 1.1862,                  0.864,                0.63076,                0.73607,                0.35184,                 1.7883,                 1.0318,                 1.6974,             0.00071033,             0.00071033,             0.00071033
                    129,                 1.0993,                0.76755,                 1.1801,                0.80144,                0.66421,                0.72016,                0.33465,                 1.8138,                 1.0794,                 1.7463,             0.00070467,             0.00070467,             0.00070467
                    130,                 1.1126,                0.79082,                 1.1917,                0.77134,                0.66068,                 0.7101,                0.33171,                 1.8159,                 1.0998,                 1.7576,             0.00069901,             0.00069901,             0.00069901
